Jester Aodhan~
Beast Diarmuid~
Seneschal Kay~
Sir Gwain~
Sire Amargein~
Attendant Aodh~
Squire Aonghus~
Bard Bran~
Knight Caemgen~
Rogue Cian~
Nobleman Corsair~
King Arthur~
Betrayer Mordred~
Sorcerer Merlin~
Morgana Le Fay~
Sir Lancelot~
Lady Gwen~
Queen Guinivere~
Page Colm~
Troubador Jarlath~
Butcher Kohl~
Prince Conaire~
Quatermaster Ezio~
Theif Conn~
Druid Cormac~
Fletcher Domnall~
Priest Donn~
Nymph Evangelon~
Changeling Eamon~
Cook Eireamhon~
Steward Eoghan~
Hatcher Fionnbharr~
Baker Fionntan~
Minstrel Lugh~
Traveler Morann~
Immortal Ruairi~
Winemaker Seanan~
Smithy Tiarnan~
